"Data","Moeda","Configuracao","Pontos"
"2024-04-05","CHF","Fraqueza","1060"
"2024-04-07","CHF","Fraqueza","1060"
"2024-04-08","CHF","Fraqueza","2269"
"2024-04-09","NZD","Força","1957"
"2024-04-10","NZD","Força","1662"
"2024-04-11","AUD","Força","1732"
"2024-04-12","JPY","Força","4916"
"2024-04-14","JPY","Força","4916"
"2024-04-15","JPY","Fraqueza","4713"
"2024-04-16","JPY","Fraqueza","2693"
"2024-04-17","JPY","Fraqueza","1097"
"2024-04-18","JPY","Fraqueza","1555"
"2024-04-19","NZD","Fraqueza","2516"
"2024-04-21","NZD","Fraqueza","2516"
"2024-04-22","GBP","Fraqueza","5853"
"2024-04-23","GBP","Força","4435"
"2024-04-24","AUD","Força","3009"
"2024-04-25","JPY","Fraqueza","4324"
"2024-04-26","JPY","Fraqueza","7767"
"2024-04-28","JPY","Fraqueza","7767"
"2024-04-29","JPY","Força","11212"
"2024-04-30","EUR","Força","3282"
"2024-05-01","NZD","Força","2281"
"2024-05-02","JPY","Força","5955"
"2024-05-03","JPY","Fraqueza","2194"
"2024-05-05","JPY","Fraqueza","2194"
"2024-05-06","JPY","Fraqueza","2483"
"2024-05-07","AUD","Fraqueza","1692"
"2024-05-08","JPY","Fraqueza","3428"
"2024-05-09","JPY","Fraqueza","2282"
"2024-05-10","NZD","Fraqueza","2311"
"2024-05-12","NZD","Fraqueza","2311"
"2024-05-13","JPY","Fraqueza","1412"
"2024-05-14","JPY","Fraqueza","1255"
"2024-05-15","JPY","Força","3598"
"2024-05-16","USD","Força","2286"
"2024-05-17","USD","Força","1767"
"2024-05-19","USD","Força","1363"
"2024-05-20","NZD","Fraqueza","2047"
"2024-05-21","NZD","Fraqueza","904"
"2024-05-22","NZD","Força","3429"
"2024-05-23","NZD","Força","2308"
"2024-05-24","JPY","Fraqueza","1572"
"2024-05-26","JPY","Fraqueza","1572"
"2024-05-27","NZD","Força","1853"
"2024-05-28","CHF","Força","1461"
"2024-05-29","AUD","Fraqueza","1483"
"2024-05-30","JPY","Força","4002"
"2024-05-31","GBP","Fraqueza","2760"
"2024-06-02","GBP","Fraqueza","2760"
"2024-06-03","JPY","Força","2565"
"2024-06-04","JPY","Força","10697"
"2024-06-05","JPY","Fraqueza","6276"
"2024-06-06","CHF","Força","1798"
"2024-06-07","GBP","Força","1305"
"2024-06-09","GBP","Força","1305"
"2024-06-10","EUR","Fraqueza","2382"
"2024-06-11","EUR","Fraqueza","2303"
"2024-06-12","JPY","Fraqueza","2749"
"2024-06-13","USD","Força","1924"
"2024-06-14","GBP","Fraqueza","2901"
"2024-06-16","GBP","Fraqueza","2901"
"2024-06-17","EUR","Força","2566"
"2024-06-18","NZD","Fraqueza","2886"
"2024-06-19","GBP","Força","1985"
"2024-06-20","CHF","Fraqueza","3408"
"2024-06-21","NZD","Força","1745"
"2024-06-23","NZD","Força","1745"
"2024-06-24","EUR","Força","2695"
"2024-06-25","JPY","Força","2180"
"2024-06-26","AUD","Força","3289"
"2024-06-27","CHF","Fraqueza","1216"
"2024-06-28","CHF","Fraqueza","1016"
"2024-06-30","CHF","Fraqueza","1016"
"2024-07-01","GBP","Força","2935"
"2024-07-02","GBP","Força","1258"
"2024-07-03","JPY","Fraqueza","3326"
"2024-07-04","JPY","Força","2767"
"2024-07-05","JPY","Força","2382"
"2024-07-07","JPY","Força","2382"
"2024-07-08","GBP","Força","3061"
"2024-07-09","NZD","Fraqueza","1008"
"2024-07-10","NZD","Fraqueza","6765"
"2024-07-11","GBP","Força","1685"
"2024-07-12","JPY","Fraqueza","5701"
"2024-07-14","JPY","Fraqueza","5701"
"2024-07-15","NZD","Fraqueza","1563"
"2024-07-16","AUD","Fraqueza","2016"
"2024-07-17","JPY","Força","8926"
"2024-07-18","JPY","Fraqueza","4249"
"2024-07-19","NZD","Fraqueza","1312"
"2024-07-21","NZD","Fraqueza","1312"
"2024-07-22","JPY","Força","5472"
"2024-07-23","JPY","Força","6493"
"2024-07-24","JPY","Força","9264"
"2024-07-25","JPY","Força","8151"
"2024-07-26","JPY","Fraqueza","6255"
"2024-07-28","JPY","Fraqueza","6255"
"2024-07-29","JPY","Força","3821"
"2024-07-30","JPY","Fraqueza","6631"
"2024-07-31","JPY","Força","15590"
"2024-08-01","GBP","Fraqueza","3284"
"2024-08-02","EUR","Força","2333"
"2024-08-04","EUR","Força","2030"
"2024-08-05","JPY","Força","19881"
"2024-08-06","JPY","Força","7172"
"2024-08-07","JPY","Fraqueza","16526"
"2024-08-08","AUD","Força","3252"
"2024-08-09","JPY","Força","4061"
"2024-08-11","JPY","Força","4061"
"2024-08-12","NZD","Força","4228"
"2024-08-13","JPY","Fraqueza","2478"
"2024-08-14","NZD","Fraqueza","8028"
"2024-08-15","AUD","Força","2994"
"2024-08-16","JPY","Força","4622"
"2024-08-18","JPY","Força","4622"
"2024-08-19","JPY","Força","10801"
"2024-08-20","NZD","Força","2420"
"2024-08-21","JPY","Fraqueza","4165"
"2024-08-22","JPY","Fraqueza","5163"
"2024-08-23","AUD","Força","1915"
"2024-08-25","AUD","Força","1915"
"2024-08-26","NZD","Fraqueza","1745"
"2024-08-27","NZD","Força","2576"
"2024-08-28","EUR","Fraqueza","3269"
"2024-08-29","AUD","Força","4097"
"2024-08-30","JPY","Fraqueza","3255"
"2024-09-01","JPY","Fraqueza","3255"
"2024-09-02","JPY","Fraqueza","3705"
"2024-09-03","JPY","Força","6559"
"2024-09-04","JPY","Força","2973"
"2024-09-05","NZD","Força","2159"
"2024-09-06","JPY","Força","2088"
"2024-09-08","JPY","Força","2088"
"2024-09-09","JPY","Fraqueza","4532"
"2024-09-10","NZD","Força","1248"
"2024-09-11","JPY","Força","2546"
"2024-09-12","CHF","Fraqueza","1118"
"2024-09-13","JPY","Força","4888"
"2024-09-15","JPY","Força","4888"
"2024-09-16","JPY","Força","3247"
"2024-09-17","AUD","Força","771"
"2024-09-18","NZD","Força","2475"
"2024-09-19","JPY","Fraqueza","5011"
"2024-09-20","JPY","Fraqueza","8782"
"2024-09-22","JPY","Fraqueza","8782"
"2024-09-23","EUR","Fraqueza","5356"
"2024-09-24","JPY","Fraqueza","3439"
"2024-09-25","JPY","Fraqueza","5941"
"2024-09-26","AUD","Força","4176"
"2024-09-27","JPY","Força","13477"
"2024-09-29","JPY","Força","13477"
"2024-09-30","EUR","Força","2066"
"2024-10-01","GBP","Fraqueza","2978"
"2024-10-02","JPY","Fraqueza","7016"
"2024-10-03","GBP","Fraqueza","9969"
"2024-10-04","GBP","Força","3779"
"2024-10-06","GBP","Força","3779"
"2024-10-07","GBP","Fraqueza","4187"
"2024-10-08","GBP","Força","2269"
"2024-10-09","NZD","Fraqueza","6618"
"2024-10-10","CAD","Fraqueza","2712"
"2024-10-11","GBP","Força","1334"
"2024-10-13","GBP","Força","1334"
"2024-10-14","CHF","Fraqueza","1839"
"2024-10-15","JPY","Força","2639"
"2024-10-16","GBP","Fraqueza","4049"
"2024-10-17","AUD","Força","3067"
